# *** Generated by BoomWorks.Org(C) SourceCounter 2.5.5.9 *** 
# *** Author: boomworks@hotmail.com *** 


Folder,File,Type,Lines,Code lines,Code//Comment,Comment lines,Blank lines,Size,Man-Day,Cost,UT Cases,UT Defects,IT Cases,IT Defects

E:\slowlife,manage.py,.py,22,21,0,0,1,806,0.10,52.50,1.05,0.21,0.42,0.04
E:\slowlife\DjangoUeditor,adminx.py,.py,34,28,0,0,6,1362,0.14,70.00,1.40,0.28,0.56,0.06
E:\slowlife\DjangoUeditor,commands.py,.py,193,161,0,0,32,5818,0.81,402.50,8.05,1.61,3.22,0.32
E:\slowlife\DjangoUeditor,forms.py,.py,42,35,0,0,7,1552,0.17,87.50,1.75,0.35,0.70,0.07
E:\slowlife\DjangoUeditor,models.py,.py,40,34,0,0,6,1765,0.17,85.00,1.70,0.34,0.68,0.07
E:\slowlife\DjangoUeditor,settings.py,.py,115,101,0,0,14,6158,0.50,252.50,5.05,1.01,2.02,0.20
E:\slowlife\DjangoUeditor,urls.py,.py,22,17,0,0,5,530,0.09,42.50,0.85,0.17,0.34,0.03
E:\slowlife\DjangoUeditor,utils.py,.py,138,122,0,0,16,4047,0.61,305.00,6.10,1.22,2.44,0.24
E:\slowlife\DjangoUeditor,views.py,.py,348,302,0,0,46,12950,1.51,755.00,15.10,3.02,6.04,0.60
E:\slowlife\DjangoUeditor,widgets.py,.py,174,152,0,0,22,7421,0.76,380.00,7.60,1.52,3.04,0.30
E:\slowlife\DjangoUeditor,__init__.py,.py,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
E:\slowlife\DjangoUeditor\static\ueditor,index.html,.html,175,160,2,0,13,6601,0.80,400.00,8.00,1.60,3.20,0.32
E:\slowlife\DjangoUeditor\static\ueditor\_examples,charts.html,.html,71,66,2,0,3,2725,0.33,165.00,3.30,0.66,1.32,0.13
E:\slowlife\DjangoUeditor\static\ueditor\_examples,completeDemo.html,.html,175,160,2,0,13,6602,0.80,400.00,8.00,1.60,3.20,0.32
E:\slowlife\DjangoUeditor\static\ueditor\_examples,customizeDialogPage.html,.html,25,23,2,0,0,774,0.12,57.50,1.15,0.23,0.46,0.05
E:\slowlife\DjangoUeditor\static\ueditor\_examples,customizeToolbarUIDemo.html,.html,43,35,5,0,3,1671,0.17,87.50,1.75,0.35,0.70,0.07
E:\slowlife\DjangoUeditor\static\ueditor\_examples,customPluginDemo.html,.html,54,45,1,0,8,1864,0.22,112.50,2.25,0.45,0.90,0.09
E:\slowlife\DjangoUeditor\static\ueditor\_examples,customToolbarDemo.html,.html,105,103,0,0,2,5140,0.51,257.50,5.15,1.03,2.06,0.21
E:\slowlife\DjangoUeditor\static\ueditor\_examples,filterRuleDemo.html,.html,151,142,0,0,9,5680,0.71,355.00,7.10,1.42,2.84,0.28
E:\slowlife\DjangoUeditor\static\ueditor\_examples,highlightDemo.html,.html,39,32,2,0,5,1345,0.16,80.00,1.60,0.32,0.64,0.06
E:\slowlife\DjangoUeditor\static\ueditor\_examples,index.html,.html,118,118,0,0,0,3854,0.59,295.00,5.90,1.18,2.36,0.24
E:\slowlife\DjangoUeditor\static\ueditor\_examples,jqueryCompleteDemo.html,.html,43,41,0,0,2,1630,0.20,102.50,2.05,0.41,0.82,0.08
E:\slowlife\DjangoUeditor\static\ueditor\_examples,jqueryValidation.html,.html,63,54,0,0,9,2238,0.27,135.00,2.70,0.54,1.08,0.11
E:\slowlife\DjangoUeditor\static\ueditor\_examples,multiDemo.html,.html,43,35,1,0,7,1355,0.17,87.50,1.75,0.35,0.70,0.07
E:\slowlife\DjangoUeditor\static\ueditor\_examples,multiEditorWithOneInstance.html,.html,60,59,0,0,1,1841,0.29,147.50,2.95,0.59,1.18,0.12
E:\slowlife\DjangoUeditor\static\ueditor\_examples,renderInTable.html,.html,26,24,1,0,1,952,0.12,60.00,1.20,0.24,0.48,0.05
E:\slowlife\DjangoUeditor\static\ueditor\_examples,resetDemo.html,.html,52,50,0,0,2,1907,0.25,125.00,2.50,0.50,1.00,0.10
E:\slowlife\DjangoUeditor\static\ueditor\_examples,sectiondemo.html,.html,181,175,0,0,6,11757,0.88,437.50,8.75,1.75,3.50,0.35
E:\slowlife\DjangoUeditor\static\ueditor\_examples,setWidthHeightDemo.html,.html,43,34,1,0,8,1412,0.17,85.00,1.70,0.34,0.68,0.07
E:\slowlife\DjangoUeditor\static\ueditor\_examples,simpleDemo.html,.html,36,30,1,0,5,1188,0.15,75.00,1.50,0.30,0.60,0.06
E:\slowlife\DjangoUeditor\static\ueditor\_examples,sortableDemo.html,.html,86,80,0,0,6,4224,0.40,200.00,4.00,0.80,1.60,0.16
E:\slowlife\DjangoUeditor\static\ueditor\_examples,submitFormDemo.html,.html,54,44,0,0,10,1622,0.22,110.00,2.20,0.44,0.88,0.09
E:\slowlife\DjangoUeditor\static\ueditor\_examples,textareaDemo.html,.html,34,27,1,0,6,891,0.14,67.50,1.35,0.27,0.54,0.05
E:\slowlife\DjangoUeditor\static\ueditor\_examples,uparsedemo.html,.html,204,200,0,0,4,8476,1.00,500.00,10.00,2.00,4.00,0.40
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\anchor,anchor.html,.html,40,40,0,0,0,1588,0.20,100.00,2.00,0.40,0.80,0.08
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\attachment,attachment.css,.css,681,619,5,0,57,15063,3.10,1547.50,30.95,6.19,12.38,1.24
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\attachment,attachment.html,.html,60,48,5,0,7,2311,0.24,120.00,2.40,0.48,0.96,0.10
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\background,background.css,.css,94,87,1,0,6,2491,0.44,217.50,4.35,0.87,1.74,0.17
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\background,background.html,.html,56,55,0,0,1,2898,0.28,137.50,2.75,0.55,1.10,0.11
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\charts,charts.css,.css,165,136,2,0,27,2601,0.68,340.00,6.80,1.36,2.72,0.27
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\charts,charts.html,.html,89,89,0,0,0,4798,0.44,222.50,4.45,0.89,1.78,0.18
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\emotion,emotion.css,.css,43,41,0,0,2,1842,0.20,102.50,2.05,0.41,0.82,0.08
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\emotion,emotion.html,.html,54,54,0,0,0,5704,0.27,135.00,2.70,0.54,1.08,0.11
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\gmap,gmap.html,.html,89,87,0,0,2,4046,0.44,217.50,4.35,0.87,1.74,0.17
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\help,help.css,.css,7,7,0,0,0,389,0.04,17.50,0.35,0.07,0.14,0.01
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\help,help.html,.html,82,82,0,0,0,2840,0.41,205.00,4.10,0.82,1.64,0.16
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\image,image.css,.css,894,807,7,0,80,19026,4.03,2017.50,40.35,8.07,16.14,1.61
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\image,image.html,.html,120,103,7,0,10,5608,0.51,257.50,5.15,1.03,2.06,0.21
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\insertframe,insertframe.html,.html,98,95,0,0,3,4284,0.47,237.50,4.75,0.95,1.90,0.19
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\link,link.html,.html,126,119,0,0,7,4386,0.60,297.50,5.95,1.19,2.38,0.24
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\map,map.html,.html,135,130,0,0,5,6015,0.65,325.00,6.50,1.30,2.60,0.26
E:\slowlife\DjangoUeditor\static\ueditor\dialogs\map,show.html,.html,118,106,2,0,10,4967,0.53,265.00,5.30,1.06,2.12,0.21
